,close
2017-03-02,4211.666666666667
2017-03-03,4140.833333333333
2017-03-06,4132.5
2017-03-07,4132.5
2017-03-08,4115.833333333333
2017-03-09,4115.833333333333
2017-03-10,4103.333333333333
2017-03-13,4078.3333333333335
2017-03-14,4078.3333333333335
2017-03-15,3985.0
2017-03-16,3985.0
2017-03-17,3985.0
2017-03-20,4000.0
2017-03-21,4029.1666666666665
2017-03-22,4015.0
2017-03-23,4033.3333333333335
2017-03-24,4033.3333333333335
2017-03-27,4033.3333333333335
2017-03-28,4033.3333333333335
2017-03-29,4034.1666666666665
2017-03-30,4034.1666666666665
2017-03-31,4034.1666666666665
2017-04-01,4025.8333333333335
2017-04-05,4025.8333333333335
2017-04-06,4025.8333333333335
2017-04-07,4033.3333333333335
2017-04-10,4033.3333333333335
2017-04-11,4033.3333333333335
2017-04-12,4125.0
2017-04-13,4125.0
2017-04-14,4127.5
2017-04-17,4177.5
2017-04-18,4177.5
2017-04-19,4177.5
2017-04-20,4180.833333333333
2017-04-21,4180.833333333333
2017-04-24,4180.833333333333
2017-04-25,4180.833333333333
2017-04-26,4172.5
2017-04-27,4172.5
2017-04-28,4172.5
2017-05-02,4172.5
2017-05-03,4100.0
2017-05-04,4091.6666666666665
2017-05-05,4091.6666666666665
2017-05-07,4091.6666666666665
2017-05-08,3988.3333333333335
2017-05-09,3998.3333333333335
2017-05-10,3998.3333333333335
2017-05-11,3930.0
2017-05-12,3930.0
2017-05-15,3917.5
2017-05-16,3917.5
2017-05-17,3859.1666666666665
2017-05-18,3859.1666666666665
2017-05-19,3859.1666666666665
2017-05-22,3842.5
2017-05-23,3842.5
2017-05-24,3825.8333333333335
2017-05-25,3825.8333333333335
2017-05-26,3825.8333333333335
2017-05-27,3825.8333333333335
2017-05-31,3825.8333333333335
2017-06-01,3730.0
2017-06-02,3730.0
2017-06-05,3730.0
2017-06-06,3730.0
2017-06-07,3730.0
2017-06-08,3730.0
2017-06-09,3624.1666666666665
2017-06-12,3628.3333333333335
2017-06-13,3628.3333333333335
2017-06-14,3628.3333333333335
2017-06-15,3628.3333333333335
2017-06-16,3628.3333333333335
2017-06-19,3628.3333333333335
2017-06-20,3628.3333333333335
2017-06-21,3628.3333333333335
2017-06-22,3628.3333333333335
2017-06-23,3628.3333333333335
2017-06-26,3628.3333333333335
2017-06-27,3602.5
2017-06-28,3602.5
2017-06-29,3400.8333333333335
2017-06-30,3400.8333333333335
2017-07-03,3380.0
2017-07-10,3385.0
2017-07-11,3368.3333333333335
2017-07-12,3368.3333333333335
2017-07-13,3368.3333333333335
2017-07-14,3368.3333333333335
2017-07-17,3368.3333333333335
2017-07-18,3368.3333333333335
2017-07-19,3329.1666666666665
2017-07-20,3329.1666666666665
2017-07-21,3329.1666666666665
2017-07-24,3337.5
2017-07-25,3366.6666666666665
2017-07-26,3366.6666666666665
2017-07-27,3366.6666666666665
2017-07-28,3369.1666666666665
2017-07-31,3394.1666666666665
2017-08-01,3394.1666666666665
2017-08-02,3485.8333333333335
2017-08-03,3485.8333333333335
2017-08-04,3485.8333333333335
2017-08-07,3563.3333333333335
2017-08-08,3596.6666666666665
2017-08-09,3646.6666666666665
2017-08-10,3646.6666666666665
2017-08-11,3646.6666666666665
2017-08-14,3808.181818181818
2017-08-15,3808.181818181818
2017-08-16,3823.6363636363635
2017-08-17,3823.6363636363635
2017-08-18,3823.6363636363635
2017-08-21,3720.8333333333335
2017-08-22,3720.8333333333335
2017-08-23,3721.6666666666665
2017-08-24,3713.3333333333335
2017-08-25,3713.3333333333335
2017-08-28,3709.1666666666665
2017-08-29,3709.1666666666665
2017-08-30,3663.3333333333335
2017-08-31,3663.3333333333335
2017-09-01,3663.3333333333335
2017-09-04,3817.5
2017-09-05,3823.3333333333335
2017-09-06,3823.3333333333335
2017-09-07,3823.3333333333335
2017-09-08,3923.3333333333335
2017-09-11,4017.5
2017-09-12,4013.3333333333335
2017-09-13,4013.3333333333335
2017-09-14,4013.3333333333335
2017-09-15,4013.3333333333335
2017-09-18,4013.3333333333335
2017-09-19,4013.3333333333335
2017-09-21,4046.6666666666665
2017-09-22,4046.6666666666665
2017-09-25,4103.333333333333
2017-09-26,4103.333333333333
2017-09-27,4151.666666666667
2017-09-28,4151.666666666667
2017-09-29,4171.666666666667
2017-09-30,4181.666666666667
2017-10-09,4181.666666666667
2017-10-10,4181.666666666667
2017-10-11,4409.166666666667
2017-10-12,4409.166666666667
2017-10-13,4409.166666666667
2017-10-16,4480.0
2017-10-17,4480.0
2017-10-18,4480.0
2017-10-19,4480.0
2017-10-20,4480.0
2017-10-23,4480.0
2017-10-24,4480.0
2017-10-25,4516.666666666667
2017-10-26,4516.666666666667
2017-10-27,4516.666666666667
2017-10-30,4133.333333333333
2017-10-31,4133.333333333333
2017-11-01,4133.333333333333
2017-11-02,4555.0
2017-11-03,4555.0
2017-11-06,4555.0
2017-11-07,4540.833333333333
2017-11-09,4564.75
2017-11-10,4564.75
2017-11-13,4564.75
2017-11-14,4564.75
2017-11-15,4564.75
2017-11-16,4564.75
2017-11-17,4726.0
2017-11-20,4726.0
2017-11-21,4660.0
2017-11-22,4684.285714285715
2017-11-24,4684.285714285715
